Time,Temp,RH,Wind,Fuel Moisture
23:35,56,85,6,16.4
23:05,56,83,8,15.8
22:35,56,84,10,15.5
22:05,56,84,8,14.7
21:35,57,82,9,13.7
21:05,58,80,8,13
20:35,61,73,8,12.2
20:05,62,71,8,11.9
19:35,63,70,10,11.8
19:05,64,69,7,11.8
18:35,63,70,12,11.7
18:05,63,70,13,11.4
17:35,64,70,12,11.4
17:05,64,70,14,11.6
16:35,65,68,14,11.9
16:05,65,70,13,12.1
15:35,66,72,13,12.7
15:05,66,70,11,13.2
14:35,65,71,12,12.5
14:05,66,73,11,13.5
13:35,66,72,10,14.1
13:05,65,74,10,16.4
12:35,64,76,10,17.4
12:05,63,81,8,19.4
11:35,62,86,7,19.8
11:05,62,88,7,21.5
10:35,61,92,6,22.4
10:05,60,94,7,22.7
9:35,60,94,5,21.4
9:05,60,91,5,19.8
8:35,60,92,3,21.4
8:05,60,90,1,22.1
7:35,60,90,1,22.7
7:05,59,93,0,23.3
6:35,58,94,0,23.6
6:05,58,94,0,23.5
5:35,58,94,0,23.4
5:05,58,95,1,23.3
4:35,58,95,0,23.3
4:05,58,95,0,23.1
3:35,58,95,0,23
3:05,58,95,0,22.7
2:35,57,95,0,22.5
2:05,58,95,0,22.4
1:35,57,94,0,22.1
1:05,57,94,0,21.2
0:35,57,94,0,21.3
0:05,58,93,0,20.6
